722	0	1	木木枭
723	0	2	投羽枭
724	1	3	狙射树枭
155	0	4	火球鼠
156	0	5	火岩鼠
157	1	6	火暴兽
501	0	7	水水獭
502	0	8	双刃丸
503	1	9	大剑鬼
399	0	10	大牙狸
400	0	11	大尾狸
396	0	12	姆克儿
397	0	13	姆克鸟
398	0	14	姆克鹰
403	0	15	小猫怪
404	0	16	勒克猫
405	0	17	伦琴猫
265	0	18	刺尾虫
266	0	19	甲壳茧
267	0	20	狩猎凤蝶
268	0	21	盾甲茧
269	0	22	毒粉蛾
77	0	23	小火马
78	0	24	烈焰马
133	0	25	伊布
134	0	26	水伊布
135	0	27	雷伊布
136	0	28	火伊布
196	0	29	太阳伊布
197	0	30	月亮伊布
470	0	31	叶伊布
471	0	32	冰伊布
700	0	33	仙子伊布
41	0	34	超音蝠
42	0	35	大嘴蝠
169	0	36	叉字蝠
425	0	37	飘飘球
426	0	38	随风球
401	0	39	圆法师
402	0	40	音箱蟀
418	0	41	泳圈鼬
419	0	42	浮潜鼬
412	0	43	结草儿
413	0	44	结草贵妇
414	0	45	绅士蛾
74	0	46	小拳石
75	0	47	隆隆石
76	0	48	隆隆岩
234	0	49	惊角鹿
899	0	50	诡角鹿
446	0	51	小卡比兽
143	0	52	卡比兽
46	0	53	派拉斯
47	0	54	派拉斯特
172	0	55	皮丘
25	0	56	皮卡丘
26	0	57	雷丘
63	0	58	凯西
64	0	59	勇基拉
65	0	60	胡地
390	0	61	小火焰猴
391	0	62	猛火猴
392	0	63	烈焰猴
427	0	64	卷卷耳
428	0	65	长耳兔
420	0	66	樱花宝
421	0	67	樱花儿
54	0	68	可达鸭
55	0	69	哥达鸭
415	0	70	三蜜蜂
416	0	71	蜂女王
123	0	72	飞天螳螂
900	0	73	劈斧螳螂
212	0	74	巨钳螳螂
214	0	75	赫拉克罗斯
439	0	76	魔尼尼
122	0	77	魔墙人偶
190	0	78	长尾怪手
424	0	79	双尾怪手
129	0	80	鲤鱼王
130	0	81	暴鲤龙
422	0	82	无壳海兔
423	0	83	海兔兽
211	1	84	千针鱼
904	0	85	万针鱼
440	0	86	小福蛋
113	0	87	吉利蛋
242	0	88	幸福蛋
406	0	89	含羞苞
315	0	90	毒蔷薇
407	0	91	罗丝雷朵
455	0	92	尖牙笼
548	0	93	百合根娃娃
549	1	94	裙儿小姐
114	0	95	蔓藤怪
465	0	96	巨蔓藤
339	0	97	泥泥鳅
340	0	98	鲶鱼王
453	0	99	不良蛙
454	0	100	毒骷蛙
280	0	101	拉鲁拉丝
281	0	102	奇鲁莉安
282	0	103	沙奈朵
475	0	104	艾路雷朵
193	0	105	蜻蜻蜓
469	0	106	远古巨蜓
449	0	107	沙河马
450	0	108	河马兽
417	0	109	帕奇利兹
434	0	110	臭鼬噗
435	0	111	坦克臭鼬
216	0	112	熊宝宝
217	0	113	圈圈熊
901	0	114	月月熊
704	0	115	黏黏宝
705	1	116	黏美儿
706	1	117	黏美龙
95	0	118	大岩蛇
208	0	119	大钢蛇
111	0	120	独角犀牛
112	0	121	钻角犀兽
464	0	122	超甲狂犀
438	0	123	盆才怪
185	0	124	树才怪
108	0	125	大舌头
463	0	126	大舌舔
175	0	127	波克比
176	0	128	波克基古
468	0	129	波克基斯
387	0	130	草苗龟
388	0	131	树林龟
389	0	132	土台龟
137	0	133	多边兽
233	0	134	多边兽2型
474	0	135	多边兽乙型
92	0	136	鬼斯
93	0	137	鬼斯通
94	0	138	耿鬼
442	0	139	花岩怪
198	0	140	黑暗鸦
430	0	141	乌鸦头头
201	0	142	未知图腾
363	0	143	海豹球
364	0	144	海魔狮
365	0	145	帝牙海狮
223	0	146	铁炮鱼
224	0	147	章鱼桶
451	0	148	钳尾蝎
452	0	149	龙王蝎
58	1	150	卡蒂狗
59	1	151	风速狗
431	0	152	魅力喵
432	0	153	东施喵
66	0	154	腕力
67	0	155	豪力
68	0	156	怪力
441	0	157	聒噪鸟
355	0	158	夜巡灵
356	0	159	彷徨夜灵
477	0	160	黑夜魔灵
393	0	161	波加曼
394	0	162	波皇子
395	0	163	帝王拿波
458	0	164	小球飞鱼
226	0	165	巨翅飞鱼
550	2	166	野蛮鲈鱼
902	0	167	幽尾玄鱼
37	0	168	六尾
37	1	168	六尾
38	0	169	九尾
38	1	169	九尾
72	0	170	玛瑙水母
73	0	171	毒刺水母
456	0	172	荧光鱼
457	0	173	霓虹鱼
240	0	174	鸭嘴宝宝
126	0	175	鸭嘴火兽
467	0	176	鸭嘴炎兽
81	0	177	小磁怪
82	0	178	三合一磁怪
462	0	179	自爆磁怪
436	0	180	铜镜怪
437	0	181	青铜钟
239	0	182	电击怪
125	0	183	电击兽
466	0	184	电击魔兽
207	0	185	天蝎
472	0	186	天蝎王
443	0	187	圆陆鲨
444	0	188	尖牙陆鲨
445	0	189	烈咬陆鲨
299	0	190	朝北鼻
476	0	191	大朝北鼻
100	1	192	霹雳电球
101	1	193	顽皮雷弹
479	0	194	洛托姆
433	0	195	铃铛响
358	0	196	风铃铃
200	0	197	梦妖
429	0	198	梦妖魔
173	0	199	皮宝宝
35	0	200	皮皮
36	0	201	皮可西
215	1	202	狃拉
215	0	202	狃拉
903	0	203	大狃拉
461	0	204	玛狃拉
361	0	205	雪童子
362	0	206	冰鬼护
478	0	207	雪妖女
408	0	208	头盖龙
409	0	209	战槌龙
410	0	210	盾甲龙
411	0	211	护城龙
220	0	212	小山猪
221	0	213	长毛猪
473	0	214	象牙猪
712	0	215	冰宝
713	1	216	冰岩怪
459	0	217	雪笠怪
460	0	218	暴雪王
570	1	219	索罗亚
571	1	220	索罗亚克
627	0	221	毛头小鹰
628	1	222	勇士雄鹰
447	0	223	利欧路
448	0	224	路卡利欧
480	0	225	由克希
481	0	226	艾姆利多
482	0	227	亚克诺姆
485	0	228	席多蓝恩
486	0	229	雷吉奇卡斯
488	0	230	克雷色利亚
641	0	231	龙卷云
642	0	232	雷电云
645	0	233	土地云
905	0	234	眷恋云
483	0	235	帝牙卢卡
484	0	236	帕路奇亚
487	0	237	骑拉帝纳
493	0	238	阿尔宙斯
489	0	239	霏欧纳
490	0	240	玛纳霏
492	0	241	谢米
491	0	242	达克莱伊
